time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577837039.79962111,0.13744612,0.01131588,0.00001815,77809.00000000,0.16029341,0.000000,0.000000
1577837039.89944506,0.13748060,0.01016364,0.00001776,77828.00000000,0.15819941,0.000000,0.000000
1577837039.99928498,0.13754161,0.00588519,0.00002072,77817.00000000,0.17427219,0.000000,0.000000
1577837040.09992385,0.13757421,0.00720372,0.00001854,77838.00000000,0.15723191,0.000000,0.000000
1577837040.19977021,0.13761597,0.00729130,0.00001834,77830.00000000,0.16283885,0.000000,0.000000
1577837040.29962802,0.13766756,0.00885309,0.00001878,77841.00000000,0.16887982,0.000000,0.000000
1577837040.39946198,0.13769250,0.00642662,0.00001763,77879.00000000,0.15280262,0.000000,0.000000
1577837040.49930906,0.13773751,0.00715027,0.00001892,77910.00000000,0.16506319,0.000000,0.000000
1577837040.59995484,0.13777553,0.00714397,0.00001834,77907.00000000,0.16088888,0.000000,0.000000
1577837040.69982219,0.13780588,0.00736684,0.00001886,77935.00000000,0.15629208,0.000000,0.000000
1577837040.79967308,0.13783417,0.00662224,0.00001889,77949.00000000,0.15509014,0.000000,0.000000
1577837040.89952302,0.13787230,0.00720806,0.00001974,77923.00000000,0.16116584,0.000000,0.000000
1577837040.99934888,0.13791628,0.01312259,0.00001795,77951.00000000,0.16483197,0.000000,0.000000
1577837041.09998202,0.13797204,0.01255035,0.00001967,77970.00000000,0.17215594,0.000000,0.000000
1577837041.19983006,0.13802851,0.00643381,0.00001821,77974.00000000,0.17269817,0.000000,0.000000
1577837041.29966903,0.13809079,0.00724910,0.00001968,78026.00000000,0.17639862,0.000000,0.000000
1577837041.39950490,0.13813829,0.00851985,0.00001822,77914.00000000,0.16739683,0.000000,0.000000
1577837041.49935102,0.13819509,0.00714942,0.00001908,77999.00000000,0.17323721,0.000000,0.000000
1577837041.59998322,0.13823828,0.00666712,0.00001867,78045.00000000,0.16493219,0.000000,0.000000
1577837041.69982219,0.13829552,0.01005882,0.00001923,78063.00000000,0.17372896,0.000000,0.000000
1577837041.79965401,0.13835553,0.00798157,0.00002014,78129.00000000,0.17555685,0.000000,0.000000
1577837041.89950013,0.13843049,0.00820504,0.00002051,78158.00000000,0.18498125,0.000000,0.000000
1577837041.99933910,0.13849368,0.00833054,0.00002136,78169.00000000,0.17779970,0.000000,0.000000
1577837042.09998107,0.13850883,0.00660157,0.00001727,78209.00000000,0.14794572,0.000000,0.000000
1577837042.19981384,0.13855531,0.00769185,0.00001940,78189.00000000,0.16755815,0.000000,0.000000
1577837042.29965901,0.13857993,0.00609713,0.00001722,78222.00000000,0.15396685,0.000000,0.000000
1577837042.39949489,0.13859478,0.00668936,0.00001836,78250.00000000,0.14789132,0.000000,0.000000
1577837042.49933004,0.13861796,0.00584155,0.00001781,78237.00000000,0.15315614,0.000000,0.000000
1577837042.59997010,0.13863575,0.00555722,0.00001986,78255.00000000,0.14980851,0.000000,0.000000
1577837042.69981480,0.13862656,0.00457422,0.00001778,78261.00000000,0.13284192,0.000000,0.000000
1577837042.79965401,0.13863926,0.00551632,0.00001888,78275.00000000,0.14664108,0.000000,0.000000
1577837042.89949393,0.13866579,0.00675269,0.00001867,78288.00000000,0.15541006,0.000000,0.000000
1577837042.99933791,0.13865868,0.00740983,0.00001766,78278.00000000,0.13416278,0.000000,0.000000
1577837043.09996700,0.13866787,0.00666260,0.00001880,78294.00000000,0.14448330,0.000000,0.000000
1577837043.19982600,0.13865965,0.00446456,0.00001821,78306.00000000,0.13344988,0.000000,0.000000
1577837043.29965210,0.13864793,0.00685553,0.00001885,78312.00000000,0.13120280,0.000000,0.000000
1577837043.39947915,0.13862911,0.00446506,0.00001787,78324.00000000,0.12666184,0.000000,0.000000
1577837043.49931502,0.13862303,0.00443976,0.00001925,78342.00000000,0.13474745,0.000000,0.000000
1577837043.59995794,0.13862573,0.00537577,0.00001799,78369.00000000,0.14035400,0.000000,0.000000
1577837043.69978595,0.13865235,0.00411252,0.00002042,78390.00000000,0.15566257,0.000000,0.000000
1577837043.79964018,0.13865709,0.00568208,0.00001845,78405.00000000,0.14168612,0.000000,0.000000
1577837043.89948487,0.13865470,0.00483725,0.00001683,78426.00000000,0.13712514,0.000000,0.000000
1577837043.99933696,0.13868149,0.00519372,0.00001928,78424.00000000,0.15587971,0.000000,0.000000
1577837044.09997892,0.13867244,0.00560938,0.00001725,78442.00000000,0.13285424,0.000000,0.000000
1577837044.19980907,0.13867248,0.00499544,0.00001839,78462.00000000,0.13869630,0.000000,0.000000
1577837044.29965591,0.13869603,0.00408405,0.00002097,78481.00000000,0.15388924,0.000000,0.000000
